id,cost,status,xloc,yloc
3,0,0,1116622.99,-4493479.31
30,752727.48438,3,1110622.99,-4496943.41162
56,3734907.50781,0,1092622.99,-4500407.51323
58,1695902.08122,0,1116622.99,-4500407.51323
84,3422025.59424,0,1098622.99,-4503871.61485
85,17890758.36914,0,1110622.99,-4503871.61485
86,965325.30566,0,1122622.99,-4503871.61485
111,7154763.01953,0,1092622.99,-4507335.71646
112,2979099.27136,0,1104622.99,-4507335.71646
113,8816207.66162,0,1116622.99,-4507335.71646
138,2742.06055,0,1086622.99,-4510799.81808
139,9893010.47253,0,1098622.99,-4510799.81808
140,3297944.37345,0,1110622.99,-4510799.81808
141,2632042.23633,0,1122622.99,-4510799.81808
166,0,0,1092622.99,-4514263.91969
167,40758088.38721,0,1104622.99,-4514263.91969
168,7199345.05143,0,1116622.99,-4514263.91969
170,4404982.31982,0,1140622.99,-4514263.91969
194,10392304.84546,0,1098622.99,-4517728.02131
195,10392304.84546,0,1110622.99,-4517728.02131
196,3113009.75502,0,1122622.99,-4517728.02131
197,2137965.71484,0,1134622.99,-4517728.02131
198,159423.7085,0,1146622.99,-4517728.02131
221,16333171.80933,0,1092622.99,-4521192.12292
222,20784609.69116,0,1104622.99,-4521192.12292
223,13856406.46045,0,1116622.99,-4521192.12292
224,5705185.37244,0,1128622.99,-4521192.12292
225,2559851.19491,0,1140622.99,-4521192.12292
248,3000473.58643,0,1086622.99,-4524656.22454
249,20784609.69067,0,1098622.99,-4524656.22454
250,20784609.69067,0,1110622.99,-4524656.22454
251,20544683.15332,0,1122622.99,-4524656.22454
252,40748025.99902,0,1134622.99,-4524656.22454
253,6348030.30762,0,1146622.99,-4524656.22454
275,1098081.04867,0,1080622.99,-4528120.32615
276,10392304.84546,0,1092622.99,-4528120.32615
277,20784609.69067,0,1104622.99,-4528120.32615
278,13856406.46045,0,1116622.99,-4528120.32615
279,10392304.84534,0,1128622.99,-4528120.32615
280,10378585.67859,0,1140622.99,-4528120.32615
281,3441749.72253,0,1152622.99,-4528120.32615
303,13736229.50146,0,1086622.99,-4531584.42777
304,10392304.84546,0,1098622.99,-4531584.42777
305,10392304.84534,0,1110622.99,-4531584.42777
306,10392304.84546,0,1122622.99,-4531584.42777
307,20784609.69092,0,1134622.99,-4531584.42777
308,13856406.46045,0,1146622.99,-4531584.42777
309,3043901.49468,0,1158622.99,-4531584.42777
330,7038324.08447,0,1080622.99,-4535048.52938
331,20784609.69116,0,1092622.99,-4535048.52938
332,41569219.38135,0,1104622.99,-4535048.52938
333,20784609.69116,0,1116622.99,-4535048.52938
334,20784609.69092,0,1128622.99,-4535048.52938
335,20784609.69092,0,1140622.99,-4535048.52938
336,20784609.69092,0,1152622.99,-4535048.52938
337,14214565.47705,0,1164622.99,-4535048.52938
358,13856406.46061,0,1086622.99,-4538512.631
359,10392304.84534,0,1098622.99,-4538512.631
360,10392304.84546,0,1110622.99,-4538512.631
