species,pu,amount
13,680,135.41573252
11,681,0.640380811
12,681,156.063148291
13,681,205.618036963
12,682,180.68169541
13,682,17.168510449
12,683,216.193686133
13,683,184.753473291
12,684,232.633946875
13,684,24.064194287
11,685,59.321555957
12,685,121.243288672
13,685,13.194289307
11,686,54.192245508
17,689,56.116639209
18,689,42.2064521
19,689,482.908699219
20,689,418.163104004
17,690,106.302142236
18,690,114.99245459
19,690,18.229136572
20,690,274.802776514
17,691,161.027840234
18,691,333.504872852
19,691,416.028650732
20,691,104.405008154
19,692,88.758561963
17,693,6.445261719
18,693,103.957106152
19,693,155.48505918
20,693,206.755919385
22,694,9.684670508
23,694,209.624587891
24,694,108.856419189
25,694,783.75604834
25,695,119.773965723
25,696,178.467086963
10,697,581.034905469
25,697,133.984233203
10,698,4156.921938281
25,698,277.16177793
10,699,4156.921938184
25,699,87.979922314
10,700,4156.921938232
11,700,42.05499834
25,700,688.254614209
10,701,4088.921938037
11,701,200.664526611
25,701,33.279312354
10,702,4156.921938184
25,702,5.999999902
10,703,4156.921938232
11,703,186.965178271
25,703,715.615404492
10,704,14.170181543
11,704,24.731122266
13,704,55.444228125
12,705,133.957421924
13,705,488.677317188
12,706,412.873266602
13,706,352.877983789
12,707,362.237187207
13,707,325.871395117
12,708,62.630801953
13,708,228.211750879
11,709,130.632957861
12,709,448.940647021
13,709,97.444653418
12,710,301.392492627
13,710,114.724932129
12,711,109.63389209
13,711,45.16767334
12,712,61.876212988
13,712,195.689433496
11,713,53.096653027
17,716,6
18,716,26.159339355
19,716,130.605208252
20,716,151.753249561
26,716,51.43243877
17,717,373.497392432
18,717,188.224158447
19,717,200.947433594
20,717,390.256173926
17,718,300.201762744
18,718,464.294718945
19,718,604.349470313
20,718,154.847851416
17,719,4141.71892832
19,719,4.366373486
20,719,0.654932178
17,720,1.365388672
18,720,64.718361377
19,720,27.841559229
20,720,29.833222461
17,721,39.223262207
18,721,87.389085693
19,721,13.283262354
20,721,5.724329395
22,721,11.454444141
23,721,16.438891309
25,721,253.508205566
22,722,1412.365759131
23,722,49.058538867
24,722,6.24752373
25,722,16.80507334
25,723,67.748346924
25,724,63.113414502
10,725,2039.602859619
25,725,193.306497803
10,726,4156.921938135
25,726,125.788377197
10,727,4156.921938184
25,727,89.652959033
10,728,4156.921938184
25,728,137.006271143
10,729,4156.921938184
11,729,21.210589014
25,729,303.940397021
10,730,4156.921938184
25,730,27.650527783
10,731,3997.482825684
11,731,149.606736182
25,731,341.014072266
12,732,47.275941943
13,732,50.881907324
12,733,263.437445752
13,733,284.011252588
12,734,272.231590381
13,734,176.015303516
12,735,220.875462012
13,735,131.004755127
12,736,340.709348486
13,736,449.643989404
12,737,286.798065771
13,737,34.069602686
12,738,70.299053369
13,738,483.43332334
12,739,80.106417188
13,739,393.311599072
11,740,21.698425098
12,740,73.741093213
13,740,83.891739746
11,741,2.719268555
17,744,3
18,744,349.41749458
19,744,358.966012256
20,744,268.053686572
17,745,105.214127295
18,745,104.408245313
19,745,107.445007666
20,745,413.051196191
17,746,110.952747412
18,746,374.2142521
19,746,223.415977246
20,746,91.181198682
17,747,46.721013281
18,747,704.820525
19,747,124.167486182
20,747,6
18,748,117.291244238
19,748,9.261228418
20,748,2.311254004
22,749,58.873837061
23,749,39.367303613
24,749,379.082051758
22,750,461.539750049
23,750,15.999999805
24,750,356.235911328
25,750,11.280761768
25,751,163.839446973
25,752,429.938291748
10,753,3988.700363379
25,753,148.133200391
10,754,4156.921938086
25,754,52.71897002
10,755,4156.921938135
25,755,382.750911475
10,756,4156.921938135
25,756,359.327167041
10,757,4156.921938086
25,757,19.132577148
10,758,4156.921938135
25,758,284.662272949
10,759,1876.190583496
11,759,0.369043408
13,759,117.049925
25,759,117.253616846
12,760,357.845697705
13,760,89.414150049
12,761,599.017360889
13,761,134.668082422
12,762,105.323675391
13,762,17.805496875
12,763,216.811913672
13,763,109.686839551
12,764,250.13438125
13,764,515.255507959
12,765,140.15768916
13,765,360.375204053
12,766,45.174882324
13,766,135.813481836
12,767,201.619435059
13,767,263.827533594
11,768,133.586239014
12,768,7.623380859
13,768,48.7449625
18,771,31.685355029
19,771,100.738689111
20,771,141.616548779
17,772,243.618373193
18,772,93.205879395
19,772,82.221219922
20,772,515.166555322
17,773,220.311442969
18,773,323.098289258
19,773,160.823201953
20,773,274.281335156
17,774,86.834394531
18,774,116.94300376
19,774,28.375586914
17,775,34.462932275
18,775,227.083749951
19,775,37.404789307
20,775,29.458839941
17,776,1
18,776,14.198490576
19,776,15.946133838
20,776,3.877057129
22,776,27.303201123
23,776,169.9477125
24,776,647.702639844
22,777,449.538080615
23,777,211.643248438
24,777,692.854671631
22,778,336.683272998
23,778,150.91577915
24,778,403.406513428
25,778,5.260417969
25,779,235.278672314
10,780,25.262829883
25,780,344.142241455
10,781,4156.921938135
25,781,588.992118066
10,782,4156.921938184
25,782,202.298156689
10,783,4156.921938086
25,783,506.05009873
10,784,4156.921938184
25,784,23.211346924
10,785,4156.921938135
25,785,239.272958594
10,786,4156.921938184
25,786,991.370560742
14,787,88.224898828
25,787,36.117520313
12,788,369.878952881
13,788,200.208492432
12,789,888.654337061
13,789,405.028711963
12,790,228.022676563
13,790,47.951418994
12,791,95.709313379
13,791,72.942922266
12,792,44.630012988
13,792,47.551163574
12,793,1099.048066553
13,793,178.287223438
12,794,139.295473682
13,794,114.158418115
11,795,58.390306787
12,795,49.858771582
13,795,212.520996875
11,796,19.42718501
17,799,7.015696045
18,799,64.367396875
19,799,80.756555225
20,799,346.735038379
17,800,157.500946289
18,800,287.348379053
19,800,111.229241943
20,800,367.510344678
17,801,53.570646143
18,801,412.649643506
19,801,107.347079346
20,801,117.606181445
17,802,34.349449121
18,802,178.287464307
19,802,242.275567529
20,802,168.942201318
17,803,28.460946045
18,803,208.619330469
19,803,178.688833301
20,803,87.444631836
22,803,881.431674121
23,803,2.035583496
24,803,41.012632568
22,804,1098.490175049
23,804,227.349099414
24,804,458.772939404
22,805,352.336416455
23,805,133.640445605
24,805,556.464459033
22,806,135.311248584
23,806,428.511842041
24,806,203.265916846
25,806,108.561854443
22,807,94.027990918
24,807,24.950838428
25,807,469.648210693
10,808,1493.623404199
25,808,143.733106885
10,809,4156.921938184
25,809,118.892669873
10,810,4156.921938184
25,810,350.253929785
10,811,4156.921938135
25,811,457.655558447
10,812,4156.921938135
10,813,4156.059811719
25,813,131.455121631
10,814,770.363471777
14,814,343.377824707
25,814,220.376698389
13,815,445.773468799
14,815,19.912402246
12,816,115.295920215
13,816,427.177902979
12,817,516.398511133
13,817,532.496392236
12,818,264.425877051
13,818,14.95379624
12,819,472.224382373
13,819,45.314174023
12,820,158.384756641
13,820,71.234618848
12,821,302.097546631
13,821,42.651801416
12,822,64.348082129
13,822,161.520638428
12,823,80.931748828
13,823,12.575245605
19,826,1.201132617
18,827,107.603058984
19,827,104.870319434
20,827,636.480029541
17,828,370.677240283
18,828,683.991537305
19,828,329.152753857
20,828,254.178591309
17,829,173.695164697
18,829,274.342818164
19,829,129.424671924
20,829,256.386600146
17,830,48.94361709
18,830,254.690307813
19,830,51.279379053
20,830,114.585167773
17,831,2.65625
18,831,10.461478369
20,831,23.263921436
22,831,35.416445117
23,831,7.684491309
24,831,72.63170835
22,832,638.393671143
23,832,219.185419727
24,832,311.078698389
22,833,522.232568457
23,833,222.709052295
24,833,509.979542139
22,834,211.548239014
23,834,244.469816309
24,834,96.350401318
25,834,132.828682227
25,835,351.594504443
10,836,3031.764405615
23,836,17.345706982
25,836,352.866827344
10,837,4156.921938184
23,837,5.092414063
25,837,208.190862305
10,838,4156.921938232
25,838,303.691901172
10,839,4156.921938232
25,839,210.950708838
10,840,4099.990469434
25,840,34.903370703
10,841,1051.683450586
14,841,103.549826904
25,841,8.411808496
14,842,189.300639795
12,843,3.266982568
13,843,6.503457568
14,843,96.791531055
12,844,366.808257666
13,844,700.774663867
12,845,387.360708838
13,845,135.584085107
12,846,84.573601953
13,846,115.591089453
12,847,236.146869824
13,847,20.817279346
12,848,93.3704125
13,848,111.700999902
12,849,535.24439707
13,849,269.885740674
11,850,3.684684229
12,850,120.429150391
13,850,16.916670801
11,851,396.807178076
19,854,447.719700488
20,854,125.737545898
17,855,201.581296875
18,855,604.327297803
19,855,214.612141357
20,855,490.590793799
17,856,13.616059326
18,856,164.266479443
19,856,109.838899268
20,856,35.015294678
17,857,305.20456543
18,857,164.573696484
19,857,518.36859624
20,857,10.04598999
17,858,29.1142021
18,858,100.084101611
19,858,259.600009131
20,858,49.042297656
17,859,30.867100488
18,859,55.65556748
19,859,31.970287061
20,859,145.766544238
22,859,197.833625977
23,859,42.726147754
24,859,298.216792725
22,860,1040.776344873
23,860,66.841424951
24,860,243.395467969
22,861,318.545666992
23,861,316.575206396
24,861,431.616144238
22,862,418.880064746
23,862,277.499429443
24,862,405.027224268
25,862,35.78714292
25,863,358.327433838
10,864,4091.444951611
23,864,22.603940918
24,864,0.640380908
25,864,80.842348438
10,865,4156.921938184
25,865,295.896638281
10,866,4156.921938184
25,866,1168.090470801
10,867,2937.78205835
10,868,392.232719336
14,868,436.533250537
25,868,38.783638672
14,869,165.437191895
25,869,1037.739932861
14,870,316.24965835
12,871,0.818343994
13,871,3.849662012
12,872,300.068684912
13,872,480.861836768
12,873,913.218293848
13,873,421.921824219
12,874,202.877820068
13,874,137.974677881
12,875,195.581276221
13,875,315.073071191
12,876,167.236188916
13,876,465.709914502
11,877,3.280769043
12,877,214.9382396
13,877,257.43903833
11,878,21.145645703
12,878,104.152432568
13,878,11.817630615
11,879,17.987011719
17,882,348.254896094
18,882,212.973418799
19,882,226.636746582
20,882,744.911651563
17,883,44.115039648
18,883,555.206530469
19,883,100.895421875
20,883,252.52764502
17,884,449.567810693
18,884,290.261263672
19,884,337.692958301
20,884,162.107257373
17,885,5.040343945
18,885,4.105555615
19,885,136.25429082
20,885,15.31982373
17,886,16.561804248
18,886,54.798323682
19,886,36.505242432
20,886,41.671045947
17,887,23.862367773
18,887,43.569539941
19,887,8.280761621
20,887,97.840474365
22,887,318.394883838
23,887,46.888618701
24,887,79.347773584
17,888,151.171891943
22,888,622.297681689
23,888,379.281471826
24,888,515.866696875
22,889,462.281449365
23,889,760.240899268
24,889,202.923612354
22,890,70.267304102
23,890,83.536418408
24,890,201.011907617
25,890,457.327432471
10,891,45.596823242
22,891,36.56092251
23,891,114.337198438
24,891,184.84973833
25,891,54.267002783
10,892,4156.921938184
23,892,10.495264453
25,892,103.375799951
10,893,4156.921938184
25,893,172.7153875
10,894,2091.416998438
25,894,96.400303418
10,895,51.32742041
14,895,5.326999707
25,895,6.846669287
14,896,929.408439795
25,896,13.27753623
14,897,477.128321582
25,897,14.32076875
14,898,191.951129785
12,899,332.622610449
13,899,68.714865869
12,900,938.415712793
13,900,178.307819189
12,901,244.205376514
13,901,391.747494385
12,902,110.165680859
13,902,464.919058887
12,903,265.256122754
13,903,146.814930713
12,904,152.296222363
13,904,386.729503467
11,905,23.225919385
13,905,272.791070996
11,906,81.738709082
18,909,185.133132373
19,909,14.712909961
20,909,292.553927148
17,910,462.488964453
18,910,573.74813877
19,910,491.065921533
20,910,384.655988867
17,911,126.150312842
18,911,354.271322559
19,911,326.455128125
20,911,153.989253027
17,912,124.268208057
18,912,95.54186958
19,912,237.990984326
20,912,296.175189941
17,913,66.644258643
18,913,227.360855811
19,913,62.21985625
20,913,15.317430029
17,914,50.094926758
18,914,213.096519629
19,914,228.373950586
20,914,69.374500098
17,915,33.206492627
18,915,13.865358447
19,915,24.75613457
20,915,21.289779004
22,915,48.403923535
23,915,167.547087402
24,915,411.405958838
22,916,613.920992529
23,916,559.324463379
24,916,383.002749902
22,917,340.094909766
23,917,508.798720313
24,917,516.240012744
22,918,19.772267822
23,918,7.015154053
24,918,92.486635303
25,918,345.377916113
10,919,1065.714644678
23,919,4.369382861
24,919,30.824246631
25,919,23.174465283
10,920,4156.921938184
25,920,29.780647314
10,921,2272.61362085
25,921,45.979496289
14,922,156.138018164
25,922,40.326393115
14,923,220.741737598
14,924,48.991165479
25,924,26.454600049
14,925,503.175895752
12,926,132.025926807
13,926,22.814497754
14,926,125.287372412
12,927,44.792145801
13,927,92.679468652
12,928,198.185063232
13,928,203.330058398
12,929,548.577912012
13,929,179.900212305
12,930,131.166574121
13,930,257.236690576
12,931,226.680730029
13,931,332.432750732
12,932,260.418279541
13,932,45.5351375
11,933,219.014125098
13,933,40.213422705
17,937,211.090526563
18,937,289.544511816
19,937,626.740170166
20,937,261.712810791
17,938,97.30750083
18,938,326.572034082
19,938,312.061564941
20,938,1.025114307
17,939,55.482538916
18,939,110.370657666
19,939,265.477954443
20,939,92.086271338
17,940,24.80857998
18,940,382.535325146
19,940,69.721087402
20,940,0.640380859
17,941,58.311488818
18,941,598.064560645
19,941,13.283039844
20,941,0.762797363
17,942,29.566604248
18,942,54.467794189
19,942,184.757117725
20,942,145.361718311
22,942,23.832481885
23,942,3
24,942,24.211920264
17,943,174.539372656
18,943,129.967926416
19,943,84.582178662
20,943,106.186598633
22,943,140.460289795
23,943,227.180974805
24,943,79.963838818
22,944,645.161773975
23,944,709.433904443
24,944,612.063457764
22,945,227.782468555
23,945,15.261881006
24,945,125.259646289
25,945,137.125264648
22,946,47.110022852
23,946,298.317892871
24,946,196.607309814
25,946,304.55935498
10,947,2045.021241699
25,947,1692.905245898
10,948,2710.834098535
25,948,40.996778125
25,949,321.61144873
14,950,183.761295459
14,951,102.561972168
14,952,261.707787549
14,953,224.115889502
12,954,112.8644021
13,954,3.081772168
12,955,190.311702344
13,955,263.02630249
12,956,178.505220801
13,956,627.193414941
12,957,213.695291846
13,957,556.638370166
12,958,188.91840752
13,958,192.255094678
12,959,355.821259375
13,959,1083.071900146
12,960,258.85772876
13,960,12.702411768
11,961,8.035644287
19,964,144.957807959
20,964,106.959664111
17,965,8.635314795
18,965,184.320616797
19,965,95.796444531
20,965,147.395123975
17,966,251.272054883
18,966,225.028697363
19,966,410.772017383
20,966,27.214504492
17,967,128.428768848
18,967,357.405812451
19,967,452.16048877
20,967,62.567575342
17,968,113.198036084
18,968,604.782763672
19,968,36.905634131
20,968,11.999999902
17,969,203.060402686
18,969,200.448430322
19,969,267.265351709
20,969,264.105221338
17,970,84.953983447
18,970,392.529471436
19,970,51.427665088
20,970,183.686127734
22,970,6.781686914
23,970,110.004875439
24,970,46.111269482
22,971,687.403367725
23,971,574.394460547
24,971,415.18953916
22,972,475.389085449
23,972,396.701358936
24,972,578.824638379
25,972,57.477871533
22,973,82.686828516
23,973,165.945885205
24,973,50.54333374
25,973,82.418862598
22,974,31.580304785
23,974,46.268560059
24,974,148.613500537
25,974,162.664181885
10,975,1046.246567627
25,975,352.466526221
25,976,275.869004248
25,977,20.541138818
14,978,40.535943945
14,979,357.081415674
14,980,41.247332715
13,981,2.642329688
14,981,686.97842085
12,982,79.196252246
13,982,33.883022852
12,983,81.93619751
13,983,421.928408984
12,984,282.769107764
13,984,271.852712207
12,985,118.745171875
13,985,313.222871924
12,986,225.276747461
13,986,393.539449414
11,987,1403.092860742
12,987,411.739407471
13,987,33.941645605
11,988,15.477169824
17,992,76.408644678
18,992,171.907686475
19,992,343.719164844
20,992,56.660524805
17,993,77.8033146
18,993,114.709465039
19,993,345.674016992
20,993,40.493423242
17,994,75.121030469
18,994,54.693182031
19,994,347.699754834
20,994,32.667634619
17,995,145.07492417
18,995,330.968850684
19,995,40.909969531
20,995,5.177441797
17,996,80.70673252
18,996,508.765462158
19,996,343.594547852
20,996,357.092996191
17,997,267.571886914
18,997,218.941616992
19,997,192.334489746
20,997,140.403373926
22,997,10.205744775
23,997,38.188106885
24,997,9.9757271
17,998,8.399541162
22,998,1039.33367915
23,998,553.752418896
24,998,133.434787207
22,999,323.962939258
23,999,778.740382666
24,999,338.252696289
25,1000,54.850763623
22,1001,55.109209766
23,1001,111.96191582
24,1001,183.485658252
25,1001,408.890391211
22,1002,20.393440381
23,1002,87.736142041
24,1002,137.299464111
25,1002,383.128112939
25,1003,230.409268555
25,1004,253.954632129
14,1005,204.423082031
25,1005,15.311488965
14,1006,154.942251172
14,1007,355.191461133
14,1008,28.440494189
13,1009,86.39694834
14,1009,196.014717529
12,1010,137.45268999
13,1010,143.961343799
12,1011,42.550981152
13,1011,87.891267773
12,1012,286.891265137
13,1012,578.264065674
12,1013,259.44601084
13,1013,723.02725708
12,1014,368.359875439
13,1014,15.733105518
11,1015,10
17,1020,645.040733936
18,1020,545.709991943
19,1020,155.821048682
20,1020,253.523202295
17,1021,256.013548096
18,1021,561.072522852
19,1021,373.755923486
20,1021,70.546418359
17,1022,302.036358496
18,1022,241.828343604
19,1022,291.350112793
20,1022,178.872064307
17,1023,42.191096777
18,1023,456.658826904
19,1023,99.273145264
20,1023,6.529758594
17,1024,237.617569434
18,1024,409.343710693
19,1024,378.46686792
20,1024,427.811027148
22,1025,185.317565576
23,1025,272.401772168
24,1025,369.512443701
22,1026,1938.513216797
23,1026,735.558431885
24,1026,72.470581982
22,1027,716.73777251
23,1027,435.197420166
24,1027,163.029267236
25,1027,60.224036768
