id,cost,status,xloc,yloc
3,0,0,1116622.99,-4493479.31
30,7527.2748438,3,1110622.99,-4496943.41162
56,37349.0750781,0,1092622.99,-4500407.51323
58,16959.0208122,0,1116622.99,-4500407.51323
84,34220.2559424,0,1098622.99,-4503871.61485
85,178907.5836914,0,1110622.99,-4503871.61485
86,9653.2530566,0,1122622.99,-4503871.61485
111,71547.6301953,0,1092622.99,-4507335.71646
112,29790.9927136,0,1104622.99,-4507335.71646
113,88162.0766162,0,1116622.99,-4507335.71646
138,27.4206055,0,1086622.99,-4510799.81808
139,98930.1047253,0,1098622.99,-4510799.81808
140,32979.4437345,0,1110622.99,-4510799.81808
141,26320.4223633,0,1122622.99,-4510799.81808
166,0,0,1092622.99,-4514263.91969
167,407580.8838721,0,1104622.99,-4514263.91969
168,71993.4505143,0,1116622.99,-4514263.91969
170,44049.8231982,0,1140622.99,-4514263.91969
194,103923.0484546,0,1098622.99,-4517728.02131
195,103923.0484546,0,1110622.99,-4517728.02131
196,31130.0975502,0,1122622.99,-4517728.02131
197,21379.6571484,0,1134622.99,-4517728.02131
198,1594.237085,0,1146622.99,-4517728.02131
221,163331.7180933,0,1092622.99,-4521192.12292
222,207846.0969116,0,1104622.99,-4521192.12292
223,138564.0646045,0,1116622.99,-4521192.12292
224,57051.8537244,0,1128622.99,-4521192.12292
225,25598.5119491,0,1140622.99,-4521192.12292
248,30004.7358643,0,1086622.99,-4524656.22454
249,207846.0969067,0,1098622.99,-4524656.22454
250,207846.0969067,0,1110622.99,-4524656.22454
251,205446.8315332,0,1122622.99,-4524656.22454
252,407480.2599902,0,1134622.99,-4524656.22454
253,63480.3030762,0,1146622.99,-4524656.22454
275,10980.8104867,0,1080622.99,-4528120.32615
276,103923.0484546,0,1092622.99,-4528120.32615
277,207846.0969067,0,1104622.99,-4528120.32615
278,138564.0646045,0,1116622.99,-4528120.32615
279,103923.0484534,0,1128622.99,-4528120.32615
280,103785.8567859,0,1140622.99,-4528120.32615
281,34417.4972253,0,1152622.99,-4528120.32615
303,137362.2950146,0,1086622.99,-4531584.42777
304,103923.0484546,0,1098622.99,-4531584.42777
305,103923.0484534,0,1110622.99,-4531584.42777
306,103923.0484546,0,1122622.99,-4531584.42777
307,207846.0969092,0,1134622.99,-4531584.42777
308,138564.0646045,0,1146622.99,-4531584.42777
309,30439.0149468,0,1158622.99,-4531584.42777
330,70383.2408447,0,1080622.99,-4535048.52938
331,207846.0969116,0,1092622.99,-4535048.52938
332,415692.1938135,0,1104622.99,-4535048.52938
333,207846.0969116,0,1116622.99,-4535048.52938
334,207846.0969092,0,1128622.99,-4535048.52938
335,207846.0969092,0,1140622.99,-4535048.52938
336,207846.0969092,0,1152622.99,-4535048.52938
337,142145.6547705,0,1164622.99,-4535048.52938
358,138564.0646061,0,1086622.99,-4538512.631
359,103923.0484534,0,1098622.99,-4538512.631
